,weapon,date,usage,usage percentage
113,Spas12,2022-11-24,0.868126644597233,
114,Deagles,2022-11-24,0.690151896034249,
115,Barrett,2022-11-24,0.5091997949140806,
116,Rheinmetall,2022-11-24,0.3506229220514935,
117,Dragunov,2022-11-24,0.09682539682539681,
118,Minigun,2022-11-24,0.047619047619047616,
119,M79,2022-11-24,0.0380952380952381,
120,RocketLauncher,2022-11-24,0.0,
121,Kalashnikov,2022-11-25,1.2067745223790975,
122,MP5,2022-11-25,1.0542389346310914,
123,Deagles,2022-11-25,0.9812206826095716,
124,SteyrAUG,2022-11-25,0.8272042155845868,
125,M79,2022-11-25,0.6191531307727596,
126,Spas12,2022-11-25,0.33304284676833695,
127,Rheinmetall,2022-11-25,0.26147720592165036,
128,Barrett,2022-11-25,0.21957671957671956,
129,Minigun,2022-11-25,0.20382128159905938,
130,Dragunov,2022-11-25,0.0404040404040404,
131,RocketLauncher,2022-11-25,0.0308641975308642,
132,Kalashnikov,2022-11-26,1.6321627389582796,
133,SteyrAUG,2022-11-26,0.9148497287728786,
134,Spas12,2022-11-26,0.8711852215884475,
135,MP5,2022-11-26,0.839531673260326,
136,Rheinmetall,2022-11-26,0.7298206124819027,
137,M79,2022-11-26,0.2745244872142405,
138,Deagles,2022-11-26,0.24802482463772785,
139,Minigun,2022-11-26,0.1080689471818504,
140,RocketLauncher,2022-11-26,0.09184587813620072,
141,Barrett,2022-11-26,0.09106115658535015,
142,Dragunov,2022-11-26,0.005376344086021505,
143,Kalashnikov,2022-11-27,1.6878040478040475,
144,Spas12,2022-11-27,0.9867003367003367,
145,SteyrAUG,2022-11-27,0.863271682021682,
146,M79,2022-11-27,0.6296416546416546,
147,MP5,2022-11-27,0.5885667573167573,
148,Deagles,2022-11-27,0.49314685314685314,
149,Rheinmetall,2022-11-27,0.4358706108706108,
150,Minigun,2022-11-27,0.19487179487179487,
151,Barrett,2022-11-27,0.08818181818181818,
152,Dragunov,2022-11-27,0.02824074074074074,
153,RocketLauncher,2022-11-27,0.0037037037037037034,
154,Kalashnikov,2022-11-28,2.030756324965884,12.055996519431964
155,Spas12,2022-11-28,0.8755082999108734,6.486176817915935
156,Rheinmetall,2022-11-28,0.7613424030014103,4.776907516634099
157,SteyrAUG,2022-11-28,0.6937439602880778,6.540922924945729
158,Deagles,2022-11-28,0.579034721406045,5.1638525001520055
159,MP5,2022-11-28,0.3934078839869281,8.835432221683499
160,M79,2022-11-28,0.3057005494505494,3.098798553605813
161,Barrett,2022-11-28,0.13333333333333333,3.9116834392188817
162,Minigun,2022-11-28,0.12712912087912087,1.3112918712604198
163,RocketLauncher,2022-11-28,0.10004340277777778,0.2347389588717997
164,Dragunov,2022-11-28,0.0,1.1201155030639705
165,Kalashnikov,2022-11-29,1.5387704108292344,12.164096391941463
166,Spas12,2022-11-29,1.2858678345520451,6.800783349702147
167,SteyrAUG,2022-11-29,0.9233093053526491,6.64910138466156
168,MP5,2022-11-29,0.8337974337974338,8.750083704355292
169,M79,2022-11-29,0.434046809046809,3.1481583282477614
170,Deagles,2022-11-29,0.39808059808059804,5.064007937551436
171,RocketLauncher,2022-11-29,0.1782242769084874,0.319860422937682
172,Rheinmetall,2022-11-29,0.17736450089391265,4.577662033725139
173,Minigun,2022-11-29,0.13976833976833974,1.307596246913008
174,Barrett,2022-11-29,0.055427455427455426,3.6982385730996605
175,Dragunov,2022-11-29,0.035343035343035345,1.069897816623869
176,Spas12,2022-11-30,1.7068418171866448,7.242260777591357
177,Rheinmetall,2022-11-30,1.2201526442905755,4.909959144363319
178,Barrett,2022-11-30,0.7461364306191892,3.84856245995841
179,SteyrAUG,2022-11-30,0.7278569132017408,6.6168327633069435
180,Kalashnikov,2022-11-30,0.5043103448275862,11.697201228457656
181,M79,2022-11-30,0.4875342090859333,3.2033413314397845
182,Deagles,2022-11-30,0.41923918992884507,4.972822440169739
183,Minigun,2022-11-30,0.3971538040503558,1.4264873945352676
184,MP5,2022-11-30,0.2692383287210873,8.368115358823879
185,Dragunov,2022-11-30,0.07140369209334728,1.0421667833900792
186,RocketLauncher,2022-11-30,0.0363395225464191,0.31896156354430855
187,Kalashnikov,2022-12-01,1.527634865134865,11.780205382110053
