,weaponName,date,kills_percentage,kills_percentage_rolling_average
0,Barrett,2024-07-27,9.950248756218905,
1,Barrett,2024-07-28,1.6304347826086956,
2,Barrett,2024-07-29,10.576923076923077,
3,Barrett,2024-07-30,7.669082125603865,
4,Barrett,2024-07-31,6.410626624314179,
5,Barrett,2024-08-01,0.0,
6,Barrett,2024-08-03,1.9398642095053347,
7,Barrett,2024-08-04,0.8605072463768116,
8,Barrett,2024-08-05,5.715411903823414,
9,Barrett,2024-08-06,4.956085319949811,
10,Barrett,2024-08-07,7.558578987150415,
11,Barrett,2024-08-08,5.282784338098198,
12,Barrett,2024-08-09,5.7405281285878305,
13,Barrett,2024-08-10,7.538849223015539,
14,Barrett,2024-08-11,0.7352941176470589,5.104347922654876
15,Barrett,2024-08-12,0.5504587155963303,4.819729847213717
16,Barrett,2024-08-13,2.240977881257276,4.668038555098632
17,Barrett,2024-08-14,4.0754716981132075,4.635118174154997
18,Barrett,2024-08-15,4.641350210970464,4.635446176092653
19,Barrett,2024-08-16,3.9170506912442398,4.599526401850232
20,Barrett,2024-08-17,11.72680412371134,4.688354170224853
21,Barrett,2024-08-18,8.052276559865092,5.0094462590876745
22,Barrett,2024-08-19,7.114779874213837,4.8363390989522115
23,Barrett,2024-08-20,5.2527254707631315,4.7155212662101755
24,Barrett,2024-08-21,5.162738496071829,4.653126859798058
25,Barrett,2024-08-22,6.710963455149502,4.988675032555533
26,Chainsaw,2024-07-27,0.0,
27,Chainsaw,2024-07-28,0.4528985507246377,
28,Chainsaw,2024-07-29,0.0,
29,Chainsaw,2024-07-30,0.06038647342995169,
30,Chainsaw,2024-07-31,0.0,
31,Chainsaw,2024-08-01,0.0,
32,Chainsaw,2024-08-03,0.0,
33,Chainsaw,2024-08-04,0.0,
34,Chainsaw,2024-08-05,0.0,
35,Chainsaw,2024-08-06,0.0,
36,Chainsaw,2024-08-07,0.0,
37,Chainsaw,2024-08-08,0.0,
38,Chainsaw,2024-08-09,0.0,
39,Chainsaw,2024-08-10,0.0,
40,Chainsaw,2024-08-11,0.0,0.034219001610305964
41,Chainsaw,2024-08-12,0.0,0.03208031400966184
42,Chainsaw,2024-08-13,0.0,0.030193236714975848
43,Chainsaw,2024-08-14,0.0,0.028515834675254967
44,Chainsaw,2024-08-15,0.03245699448231094,0.028723264138784226
45,Chainsaw,2024-08-16,0.0,0.027287100931845016
46,Chainsaw,2024-08-17,0.0,0.027287100931845016
47,Chainsaw,2024-08-18,0.0,0.004642173395613131
48,Chainsaw,2024-08-19,0.0,0.004642173395613131
49,Chainsaw,2024-08-20,0.0,0.0016228497241155468
50,Chainsaw,2024-08-21,0.0,0.0016228497241155468
