,mapName,date,pick_percentage
0,ctf_Spark,2022-12-24,0.0
1,ctf_ash,2022-12-24,0.0
2,ctf_atlantis,2022-12-24,0.0
3,ctf_basalt,2022-12-24,50.0
4,ctf_campsite,2022-12-24,0.0
5,ctf_cobra,2022-12-24,0.0
6,ctf_crossfire,2022-12-24,0.0
7,ctf_division,2022-12-24,0.0
8,ctf_dogbite,2022-12-24,0.0
9,ctf_dopamine,2022-12-24,0.0
10,ctf_dusk,2022-12-24,0.0
11,ctf_guardian,2022-12-24,0.0
12,ctf_Spark,2022-12-25,0.0
13,ctf_ash,2022-12-25,0.0
14,ctf_atlantis,2022-12-25,0.0
15,ctf_basalt,2022-12-25,6.666666666666667
16,ctf_campsite,2022-12-25,6.666666666666667
17,ctf_cobra,2022-12-25,0.0
18,ctf_crossfire,2022-12-25,6.666666666666667
19,ctf_division,2022-12-25,0.0
20,ctf_dogbite,2022-12-25,0.0
21,ctf_dopamine,2022-12-25,6.666666666666667
22,ctf_dusk,2022-12-25,0.0
23,ctf_guardian,2022-12-25,6.666666666666667
24,ctf_Spark,2022-12-26,3.8461538461538463
25,ctf_ash,2022-12-26,0.0
26,ctf_atlantis,2022-12-26,0.0
27,ctf_basalt,2022-12-26,0.0
28,ctf_campsite,2022-12-26,3.8461538461538463
29,ctf_cobra,2022-12-26,11.538461538461538
30,ctf_crossfire,2022-12-26,7.6923076923076925
31,ctf_division,2022-12-26,7.6923076923076925
32,ctf_dogbite,2022-12-26,0.0
33,ctf_dopamine,2022-12-26,0.0
34,ctf_dusk,2022-12-26,7.6923076923076925
35,ctf_guardian,2022-12-26,7.6923076923076925
36,ctf_Spark,2022-12-27,3.7735849056603774
37,ctf_ash,2022-12-27,1.8867924528301887
38,ctf_atlantis,2022-12-27,0.0
39,ctf_basalt,2022-12-27,3.7735849056603774
40,ctf_campsite,2022-12-27,0.0
41,ctf_cobra,2022-12-27,0.0
42,ctf_crossfire,2022-12-27,3.7735849056603774
43,ctf_division,2022-12-27,3.7735849056603774
44,ctf_dogbite,2022-12-27,0.0
45,ctf_dopamine,2022-12-27,0.0
46,ctf_dusk,2022-12-27,1.8867924528301887
47,ctf_guardian,2022-12-27,9.433962264150944
48,ctf_Spark,2022-12-28,2.9411764705882355
49,ctf_ash,2022-12-28,5.882352941176471
50,ctf_atlantis,2022-12-28,0.0
51,ctf_basalt,2022-12-28,2.9411764705882355
52,ctf_campsite,2022-12-28,2.9411764705882355
53,ctf_cobra,2022-12-28,8.823529411764707
54,ctf_crossfire,2022-12-28,2.9411764705882355
55,ctf_division,2022-12-28,5.882352941176471
56,ctf_dogbite,2022-12-28,0.0
57,ctf_dopamine,2022-12-28,0.0
58,ctf_dusk,2022-12-28,8.823529411764707
59,ctf_guardian,2022-12-28,11.764705882352942
60,ctf_Spark,2022-12-29,10.256410256410257
61,ctf_ash,2022-12-29,0.0
62,ctf_atlantis,2022-12-29,0.0
63,ctf_basalt,2022-12-29,2.5641025641025643
64,ctf_campsite,2022-12-29,0.0
65,ctf_cobra,2022-12-29,0.0
66,ctf_crossfire,2022-12-29,10.256410256410257
67,ctf_division,2022-12-29,0.0
68,ctf_dogbite,2022-12-29,0.0
69,ctf_dopamine,2022-12-29,2.5641025641025643
70,ctf_dusk,2022-12-29,0.0
71,ctf_guardian,2022-12-29,5.128205128205129
72,ctf_Spark,2022-12-30,10.0
73,ctf_ash,2022-12-30,0.0
74,ctf_atlantis,2022-12-30,0.0
75,ctf_basalt,2022-12-30,0.0
76,ctf_campsite,2022-12-30,10.0
77,ctf_cobra,2022-12-30,0.0
78,ctf_crossfire,2022-12-30,0.0
79,ctf_division,2022-12-30,10.0
80,ctf_dogbite,2022-12-30,0.0
81,ctf_dopamine,2022-12-30,10.0
82,ctf_dusk,2022-12-30,0.0
83,ctf_guardian,2022-12-30,20.0
84,ctf_Spark,2022-12-31,0.0
85,ctf_ash,2022-12-31,0.0
86,ctf_atlantis,2022-12-31,0.0
87,ctf_basalt,2022-12-31,0.0
88,ctf_campsite,2022-12-31,0.0
89,ctf_cobra,2022-12-31,0.0
90,ctf_crossfire,2022-12-31,0.0
91,ctf_division,2022-12-31,0.0
92,ctf_dogbite,2022-12-31,0.0
93,ctf_dopamine,2022-12-31,0.0
94,ctf_dusk,2022-12-31,50.0
95,ctf_guardian,2022-12-31,0.0
96,ctf_Spark,2023-01-01,0.0
97,ctf_ash,2023-01-01,0.0
98,ctf_atlantis,2023-01-01,0.0
99,ctf_basalt,2023-01-01,0.0
100,ctf_campsite,2023-01-01,0.0
101,ctf_cobra,2023-01-01,0.0
102,ctf_crossfire,2023-01-01,0.0
103,ctf_division,2023-01-01,12.5
104,ctf_dogbite,2023-01-01,0.0
105,ctf_dopamine,2023-01-01,0.0
106,ctf_dusk,2023-01-01,0.0
107,ctf_guardian,2023-01-01,0.0
108,ctf_Spark,2023-01-02,9.090909090909092
109,ctf_ash,2023-01-02,18.181818181818183
110,ctf_atlantis,2023-01-02,0.0
111,ctf_basalt,2023-01-02,0.0
112,ctf_campsite,2023-01-02,0.0
113,ctf_cobra,2023-01-02,9.090909090909092
114,ctf_crossfire,2023-01-02,0.0
115,ctf_division,2023-01-02,18.181818181818183
116,ctf_dogbite,2023-01-02,9.090909090909092
117,ctf_dopamine,2023-01-02,0.0
118,ctf_dusk,2023-01-02,0.0
119,ctf_guardian,2023-01-02,18.181818181818183
120,ctf_Spark,2023-01-04,0.0
121,ctf_ash,2023-01-04,2.127659574468085
122,ctf_atlantis,2023-01-04,6.382978723404255
123,ctf_basalt,2023-01-04,0.0
124,ctf_campsite,2023-01-04,2.127659574468085
125,ctf_cobra,2023-01-04,12.76595744680851
126,ctf_crossfire,2023-01-04,4.25531914893617
127,ctf_division,2023-01-04,4.25531914893617
128,ctf_dogbite,2023-01-04,2.127659574468085
129,ctf_dopamine,2023-01-04,6.382978723404255
130,ctf_dusk,2023-01-04,0.0
131,ctf_guardian,2023-01-04,12.76595744680851
132,ctf_Spark,2023-01-05,0.0
133,ctf_ash,2023-01-05,2.3255813953488373
134,ctf_atlantis,2023-01-05,2.3255813953488373
135,ctf_basalt,2023-01-05,0.0
136,ctf_campsite,2023-01-05,2.3255813953488373
137,ctf_cobra,2023-01-05,9.30232558139535
138,ctf_crossfire,2023-01-05,4.651162790697675
139,ctf_division,2023-01-05,6.976744186046512
140,ctf_dogbite,2023-01-05,2.3255813953488373
141,ctf_dopamine,2023-01-05,9.30232558139535
142,ctf_dusk,2023-01-05,0.0
143,ctf_guardian,2023-01-05,11.627906976744185
144,ctf_Spark,2023-01-06,0.0
145,ctf_ash,2023-01-06,6.25
146,ctf_atlantis,2023-01-06,2.0833333333333335
147,ctf_basalt,2023-01-06,0.0
148,ctf_campsite,2023-01-06,6.25
149,ctf_cobra,2023-01-06,10.416666666666666
150,ctf_crossfire,2023-01-06,6.25
151,ctf_division,2023-01-06,6.25
152,ctf_dogbite,2023-01-06,4.166666666666667
153,ctf_dopamine,2023-01-06,0.0
154,ctf_dusk,2023-01-06,0.0
155,ctf_guardian,2023-01-06,14.583333333333334
156,ctf_Spark,2023-01-07,0.0
157,ctf_ash,2023-01-07,0.0
158,ctf_atlantis,2023-01-07,5.405405405405405
159,ctf_basalt,2023-01-07,0.0
160,ctf_campsite,2023-01-07,2.7027027027027026
161,ctf_cobra,2023-01-07,10.81081081081081
162,ctf_crossfire,2023-01-07,8.108108108108109
163,ctf_division,2023-01-07,0.0
164,ctf_dogbite,2023-01-07,0.0
165,ctf_dopamine,2023-01-07,5.405405405405405
166,ctf_dusk,2023-01-07,2.7027027027027026
167,ctf_guardian,2023-01-07,18.91891891891892
168,ctf_Spark,2023-01-08,0.0
169,ctf_ash,2023-01-08,0.0
170,ctf_atlantis,2023-01-08,7.894736842105263
171,ctf_basalt,2023-01-08,0.0
172,ctf_campsite,2023-01-08,2.6315789473684212
173,ctf_cobra,2023-01-08,13.157894736842104
174,ctf_crossfire,2023-01-08,7.894736842105263
175,ctf_division,2023-01-08,5.2631578947368425
176,ctf_dogbite,2023-01-08,5.2631578947368425
177,ctf_dopamine,2023-01-08,2.6315789473684212
178,ctf_dusk,2023-01-08,5.2631578947368425
179,ctf_guardian,2023-01-08,13.157894736842104
180,ctf_Spark,2023-01-09,0.0
181,ctf_ash,2023-01-09,0.0
182,ctf_atlantis,2023-01-09,5.714285714285714
183,ctf_basalt,2023-01-09,0.0
184,ctf_campsite,2023-01-09,2.857142857142857
185,ctf_cobra,2023-01-09,8.571428571428571
186,ctf_crossfire,2023-01-09,8.571428571428571
187,ctf_division,2023-01-09,5.714285714285714
188,ctf_dogbite,2023-01-09,2.857142857142857
189,ctf_dopamine,2023-01-09,2.857142857142857
190,ctf_dusk,2023-01-09,5.714285714285714
191,ctf_guardian,2023-01-09,8.571428571428571
192,ctf_Spark,2023-01-10,0.0
193,ctf_ash,2023-01-10,0.0
194,ctf_atlantis,2023-01-10,7.407407407407407
195,ctf_basalt,2023-01-10,0.0
196,ctf_campsite,2023-01-10,0.0
197,ctf_cobra,2023-01-10,7.407407407407407
198,ctf_crossfire,2023-01-10,0.0
199,ctf_division,2023-01-10,7.407407407407407
200,ctf_dogbite,2023-01-10,7.407407407407407
201,ctf_dopamine,2023-01-10,3.7037037037037037
202,ctf_dusk,2023-01-10,3.7037037037037037
203,ctf_guardian,2023-01-10,14.814814814814815
204,ctf_Spark,2023-01-11,0.0
205,ctf_ash,2023-01-11,5.555555555555555
206,ctf_atlantis,2023-01-11,5.555555555555555
207,ctf_basalt,2023-01-11,0.0
208,ctf_campsite,2023-01-11,8.333333333333334
209,ctf_cobra,2023-01-11,0.0
210,ctf_crossfire,2023-01-11,8.333333333333334
211,ctf_division,2023-01-11,2.7777777777777777
212,ctf_dogbite,2023-01-11,2.7777777777777777
213,ctf_dopamine,2023-01-11,2.7777777777777777
214,ctf_dusk,2023-01-11,0.0
215,ctf_guardian,2023-01-11,16.666666666666668
216,ctf_Spark,2023-01-12,0.0
217,ctf_ash,2023-01-12,0.0
218,ctf_atlantis,2023-01-12,9.523809523809524
219,ctf_basalt,2023-01-12,0.0
220,ctf_campsite,2023-01-12,4.761904761904762
221,ctf_cobra,2023-01-12,9.523809523809524
222,ctf_crossfire,2023-01-12,4.761904761904762
223,ctf_division,2023-01-12,9.523809523809524
224,ctf_dogbite,2023-01-12,0.0
225,ctf_dopamine,2023-01-12,4.761904761904762
