,weaponName,date,kills_percentage,kills_percentage_rolling_average
0,Barrett,2023-03-11,4.538152610441767,
1,Barrett,2023-03-12,1.0177730518000911,
2,Barrett,2023-03-13,3.9247530112329136,
3,Barrett,2023-03-14,5.917504736918817,
4,Barrett,2023-03-15,3.145784648570915,3.7087936117929003
5,Barrett,2023-03-16,1.86084142394822,3.4008015804854534
6,Barrett,2023-03-17,2.9593290077543917,3.337734070095302
7,Barrett,2023-03-18,1.8471872376154492,2.9533104454058283
8,Barrett,2023-03-19,0.4497558468260087,2.8721651304095306
9,Barrett,2023-03-20,0.9414466130884042,2.4459785021031726
10,Barrett,2023-03-21,2.370395634379263,1.9392486303118073
11,Barrett,2023-03-22,1.5088879702356346,1.7054062476924814
12,Barrett,2023-03-23,2.3136773136773137,1.770097089082352
13,Barrett,2023-03-24,1.6472203157172272,1.5826529902199
14,Barrett,2023-03-25,1.0584556170315131,1.4699770444221951
15,Barrett,2023-03-26,0.6905481225722918,1.5043759409573785
16,Barrett,2023-03-27,4.0399455288243304,1.9470186432053675
17,Barrett,2023-03-28,4.985044865403789,2.320539961923157
18,Barrett,2023-03-29,4.4218393190782646,2.736675868900676
19,Barrett,2023-03-30,1.1070110701107012,2.5642949769625885
20,Barrett,2023-03-31,1.9870609981515712,2.6128436458817803
21,Chainsaw,2023-03-11,0.321285140562249,
22,Chainsaw,2023-03-12,0.0,
23,Chainsaw,2023-03-13,0.5278116118554608,
24,Chainsaw,2023-03-14,0.2040518874799592,
25,Chainsaw,2023-03-15,0.7370124033794715,0.35803220865542806
26,Chainsaw,2023-03-16,0.02696871628910464,0.3028549599277075
27,Chainsaw,2023-03-17,0.39563222028802025,0.31610885426489505
28,Chainsaw,2023-03-18,1.119507416736636,0.43014060800409315
29,Chainsaw,2023-03-19,0.3469545104086353,0.4797055380624696
30,Chainsaw,2023-03-20,0.3214695752009185,0.45022810425467785
31,Chainsaw,2023-03-21,1.0402455661664394,0.5696843440670322
32,Chainsaw,2023-03-22,0.9508061182306738,0.6002263033314897
33,Chainsaw,2023-03-23,1.0237510237510237,0.7426237758260495
34,Chainsaw,2023-03-24,0.4461221688400824,0.7498366256192012
35,Chainsaw,2023-03-25,0.2165022853019004,0.6208358925570961
36,Chainsaw,2023-03-26,0.0,0.5712709624987198
37,Chainsaw,2023-03-27,0.0,0.5253467374700171
38,Chainsaw,2023-03-28,0.0,0.3767402280176686
39,Chainsaw,2023-03-29,4.982354162341706,0.9526756628906732
40,Chainsaw,2023-03-30,0.6077707835901889,0.8932499142962683
41,Chainsaw,2023-03-31,0.18484288354898337,0.8559243021118256
42,Deagles,2023-03-11,8.393574297188755,
43,Deagles,2023-03-12,12.319611119550357,
44,Deagles,2023-03-13,11.395317363648667,
45,Deagles,2023-03-14,9.124034397318175,
46,Deagles,2023-03-15,8.592486068667984,9.965004649274787
47,Deagles,2023-03-16,3.1553398058252426,8.830060508699864
48,Deagles,2023-03-17,6.425067257477449,8.486490044239519
49,Deagles,2023-03-18,4.394066610691296,7.91513180331131
50,Deagles,2023-03-19,3.8036494474428166,6.69856585015309
51,Deagles,2023-03-20,3.214695752009185,5.529905619918878
52,Deagles,2023-03-21,3.888130968622101,4.781919415819439
53,Deagles,2023-03-22,5.828854898718479,4.38711496296951
54,Deagles,2023-03-23,5.118755118755119,4.667602864816636
55,Deagles,2023-03-24,2.5051475634866165,4.1076143371036595
56,Deagles,2023-03-25,6.831849891748857,4.455869091540453
57,Deagles,2023-03-26,11.199827362969357,5.512465936615674
58,Deagles,2023-03-27,2.587380844303223,5.422849521229108
59,Deagles,2023-03-28,0.8973080757726819,4.995589107964905
60,Deagles,2023-03-29,8.4700020759809,5.372895847573822
61,Deagles,2023-03-30,10.65769481224224,6.164172946643411
62,Deagles,2023-03-31,3.6506469500924212,6.3278157161585264
63,Dragunov,2023-03-11,1.9678714859437751,
64,Dragunov,2023-03-12,8.491569193376879,
65,Dragunov,2023-03-13,4.601434564893761,
66,Dragunov,2023-03-14,2.09881941407958,
67,Dragunov,2023-03-15,5.662412367427647,4.564421405144328
68,Dragunov,2023-03-16,4.395900755124056,4.53633463014095
69,Dragunov,2023-03-17,4.162050957429973,4.482865534039382
70,Dragunov,2023-03-18,1.6792611251049538,4.4416354824909785
71,Dragunov,2023-03-19,3.5723464405037264,3.738889374937671
72,Dragunov,2023-03-20,7.095292766934558,4.095154832372071
73,Dragunov,2023-03-21,5.405866302864939,4.56759010219855
74,Dragunov,2023-03-22,8.040512608515916,4.907318708068303
75,Dragunov,2023-03-23,5.139230139230139,5.013508620083457
76,Dragunov,2023-03-24,0.9265614275909403,4.551295830106453
77,Dragunov,2023-03-25,1.828241520327159,4.5725787437096255
78,Dragunov,2023-03-26,4.553301683211049,4.712715206953528
79,Dragunov,2023-03-27,2.8597367226509305,4.107635772055867
80,Dragunov,2023-03-28,16.74975074775673,5.728190692754694
81,Dragunov,2023-03-29,4.81627569026365,5.2675854187186575
82,Dragunov,2023-03-30,6.16453223355763,5.414057146479727
83,Dragunov,2023-03-31,3.743068391866913,5.816415284233437
84,Kalashnikov,2023-03-11,1.1646586345381527,
85,Kalashnikov,2023-03-12,2.8710314446301077,
86,Kalashnikov,2023-03-13,2.652591690350521,
87,Kalashnikov,2023-03-14,5.319924209298936,
88,Kalashnikov,2023-03-15,2.0672299119180297,2.8150871781471496
89,Kalashnikov,2023-03-16,6.553398058252427,3.438138991498029
90,Kalashnikov,2023-03-17,10.713720525399589,4.477507782055395
91,Kalashnikov,2023-03-18,5.793450881612091,5.138763817351672
