,weapon,date,usage,usage percentage
0,Barrett,2023-01-25,11.190651786879409,
1,Barrett,2023-01-26,12.954657160165638,
2,Barrett,2023-01-27,4.556261233892812,
3,Barrett,2023-01-28,5.57303391053391,8.568651022867943
4,Barrett,2023-01-29,13.732142857142856,9.601349389722925
5,Barrett,2023-01-30,9.8397115704808,9.641076419849236
6,Barrett,2023-01-31,5.722695060930355,9.081307654289397
7,Barrett,2023-02-01,7.463837332258383,8.548905589343537
8,Barrett,2023-02-02,6.198661393367812,7.583763336943847
9,Barrett,2023-02-03,14.897837205529516,9.061131332891948
10,Barrett,2023-02-04,12.816871337279498,10.095965250998459
11,Barrett,2023-02-05,0.881057268722467,8.26009588122412
12,Barrett,2023-02-06,8.061342592592592,8.006043170097232
13,Barrett,2023-02-07,6.885062479858019,8.17209565851547
14,Barrett,2023-02-08,3.157142857142857,7.556853590641823
15,Barrett,2023-02-09,8.409801946822464,7.8727308125639155
16,Barrett,2023-02-10,1.0030864197530864,5.887766414595855
17,Barrett,2023-02-11,0.9691250919321096,4.195231236689085
18,Barrett,2023-02-12,1.9565473265713715,4.348872673524642
19,Barrett,2023-02-13,1.186868686868687,3.366804972706942
20,Barrett,2023-02-14,0.7777777777777779,2.494335729552622
21,Barrett,2023-02-15,0.9122406472803014,2.173635413857971
22,Barrett,2023-02-16,2.051282051282051,1.2652754287807693
23,Barrett,2023-02-17,1.6294673105818613,1.35475841318488
24,Barrett,2023-02-18,1.1213323713323713,1.3765023102420602
25,Deagles,2023-01-25,10.804361050524733,
26,Deagles,2023-01-26,10.250048915303156,
27,Deagles,2023-01-27,8.397832566756712,
28,Deagles,2023-01-28,0.6704545454545455,7.530674269509786
29,Deagles,2023-01-29,3.883928571428571,6.801325129893543
30,Deagles,2023-01-30,5.008798391151332,6.502570673436509
31,Deagles,2023-01-31,4.41849816849817,6.204846029873889
32,Deagles,2023-02-01,8.919340893025103,5.93555743594537
33,Deagles,2023-02-02,7.620570237877274,5.5599176248845295
34,Deagles,2023-02-03,3.9196053500866337,4.920170879645947
35,Deagles,2023-02-04,5.2311469411362,5.571698364743327
36,Deagles,2023-02-05,7.886506542894209,6.143495217809845
37,Deagles,2023-02-06,5.715139894827395,6.244401146906426
38,Deagles,2023-02-07,17.818563395508416,8.158696179336461
39,Deagles,2023-02-08,12.809769152416212,8.714471644963764
40,Deagles,2023-02-09,12.846599414396026,9.461047241609299
41,Deagles,2023-02-10,5.203592703592704,9.64447400639588
42,Deagles,2023-02-11,8.655195903580022,10.133623858173568
43,Deagles,2023-02-12,12.974844189248332,10.860529236224158
44,Deagles,2023-02-13,10.005735005735007,11.473471394925244
45,Deagles,2023-02-14,4.09315830368462,9.512699238950418
46,Deagles,2023-02-15,10.551641274914633,9.190109542164478
47,Deagles,2023-02-16,4.6843287696946225,8.024070878635706
48,Deagles,2023-02-17,7.642052670747075,8.372422302514902
49,Deagles,2023-02-18,4.27649442286218,7.7468935195552096
50,Dragunov,2023-01-25,0.33816425120772947,
51,Dragunov,2023-01-26,4.227787866559054,
52,Dragunov,2023-01-27,0.0,
53,Dragunov,2023-01-28,0.0,1.1414880294416958
54,Dragunov,2023-01-29,2.20959595959596,1.3551096154725486
55,Dragunov,2023-01-30,0.0,1.1292580128937904
56,Dragunov,2023-01-31,0.0,0.9679354396232489
57,Dragunov,2023-02-01,0.8089668615984403,1.0351929553933505
58,Dragunov,2023-02-02,2.9763228101378383,0.8564122330474626
59,Dragunov,2023-02-03,1.163609118154573,1.0226421070695444
60,Dragunov,2023-02-04,0.1020408163265306,1.037219366544763
61,Dragunov,2023-02-05,0.2643171806167401,0.7593223981191602
62,Dragunov,2023-02-06,0.0,0.7593223981191605
63,Dragunov,2023-02-07,1.1565468814539448,0.9245433811840097
64,Dragunov,2023-02-08,0.0,0.8089766866699468
65,Dragunov,2023-02-09,1.9044717698755587,0.655855109489621
66,Dragunov,2023-02-10,0.9259259259259259,0.6219003677426714
67,Dragunov,2023-02-11,1.5566905479186186,0.829707472255827
68,Dragunov,2023-02-12,0.0,0.7919478750248639
69,Dragunov,2023-02-13,0.0,0.7919478750248639
70,Dragunov,2023-02-14,6.228956228956229,1.5165777818109045
71,Dragunov,2023-02-15,2.352256761503337,1.852614462025667
72,Dragunov,2023-02-16,1.6752161569234738,1.8198636601753695
73,Dragunov,2023-02-17,0.0,1.6875885279002372
74,Dragunov,2023-02-18,4.227971102971104,2.069200035764878
75,Kalashnikov,2023-01-25,5.353991821383125,
76,Kalashnikov,2023-01-26,15.028361252435744,
77,Kalashnikov,2023-01-27,5.473713091747148,
78,Kalashnikov,2023-01-28,16.572953435453442,10.607254900254866
79,Kalashnikov,2023-01-29,9.362064270152505,10.358216774234393
80,Kalashnikov,2023-01-30,7.281342023989083,9.845404315860174
81,Kalashnikov,2023-01-31,4.82905982905983,9.128783674888696
82,Kalashnikov,2023-02-01,5.588286367372239,9.162254324315713
83,Kalashnikov,2023-02-02,6.010256856012864,7.873953696255301
84,Kalashnikov,2023-02-03,5.762775491796472,7.915248324833776
85,Kalashnikov,2023-02-04,13.48281030343329,7.473799305973755
86,Kalashnikov,2023-02-05,5.550641233460617,6.929310300732056
87,Kalashnikov,2023-02-06,6.712482396076146,6.848044639601637
88,Kalashnikov,2023-02-07,6.734313685439861,7.120223761941641
89,Kalashnikov,2023-02-08,7.511373811373812,7.3949505396561515
90,Kalashnikov,2023-02-09,6.8891497705057025,7.520506670297985
91,Kalashnikov,2023-02-10,8.149179705552255,7.861421557977384
92,Kalashnikov,2023-02-11,8.61312988505971,7.165752926781158
93,Kalashnikov,2023-02-12,3.5859318346627993,6.885080155524327
94,Kalashnikov,2023-02-13,7.098765432098765,6.940263446384701
95,Kalashnikov,2023-02-14,9.54646510896511,7.341999364031166
96,Kalashnikov,2023-02-15,8.442517221846817,7.475019851241593
97,Kalashnikov,2023-02-16,8.9390058902254,7.767856439772979
98,Kalashnikov,2023-02-17,6.157557438045242,7.483338972986265
99,Kalashnikov,2023-02-18,5.180162974280622,6.992915128589251
100,M79,2023-01-25,5.492005981136415,
101,M79,2023-01-26,9.922629920760532,
102,M79,2023-01-27,10.734785438732807,
103,M79,2023-01-28,9.79141087670499,8.985208054333686
104,M79,2023-01-29,2.270833333333334,7.642333110133616
105,M79,2023-01-30,10.253122945430636,8.077464749349785
106,M79,2023-01-31,10.537656787656788,8.428920754822215
107,M79,2023-02-01,7.178462781532954,8.669843154878864
108,M79,2023-02-02,9.155046543052322,8.560188386634833
109,M79,2023-02-03,16.230642900223323,9.345310881133477
110,M79,2023-02-04,7.027552945920291,8.950474033878521
111,M79,2023-02-05,15.19944079415445,10.797417956852966
112,M79,2023-02-06,9.907236860361857,10.748005658986
113,M79,2023-02-07,3.9193334546494407,9.802530897127806
114,M79,2023-02-08,14.05405242905243,10.784757989630588
115,M79,2023-02-09,5.424394763745133,10.251807735443846
116,M79,2023-02-10,14.507405247321827,10.00563092788649
117,M79,2023-02-11,4.8989550086041325,9.701545508269897
118,M79,2023-02-12,17.318083073159215,10.004208690984862
119,M79,2023-02-13,14.820336556447668,10.70608007613998
120,M79,2023-02-14,7.532280219780219,11.222215328301518
121,M79,2023-02-15,8.12776597451255,10.375602977652962
122,M79,2023-02-16,8.511390371146467,10.816602350138869
123,M79,2023-02-17,16.54897341996186,11.108254946230302
124,M79,2023-02-18,18.678095461183702,13.076703582313097
125,MP5,2023-01-25,27.23523055044794,
126,MP5,2023-01-26,17.75787694192021,
127,MP5,2023-01-27,17.717698251753973,
128,MP5,2023-01-28,24.934654805978337,21.911365137525117
129,MP5,2023-01-29,34.635622683416806,24.456216646703453
130,MP5,2023-01-30,28.35642455834764,25.10625129864415
131,MP5,2023-01-31,28.787878787878793,25.63219808282053
132,MP5,2023-02-01,32.394141758176836,26.36918539821037
133,MP5,2023-02-02,28.920688335428213,27.963872740140086
134,MP5,2023-02-03,30.287457012570144,29.759552563113825
135,MP5,2023-02-04,33.29039328018919,30.95322948800109
136,MP5,2023-02-05,38.720325807330205,31.536758505703006
137,MP5,2023-02-06,41.27550677297919,33.382341679221796
138,MP5,2023-02-07,33.445069191987606,34.04765459409448
139,MP5,2023-02-08,32.13113978613978,34.01008288380348
140,MP5,2023-02-09,28.23389324386333,33.911969299294206
141,MP5,2023-02-10,32.423618629328985,34.21713524454547
142,MP5,2023-02-11,34.51501633519178,34.39208139526012
143,MP5,2023-02-12,21.573015957533723,31.942465702432056
144,MP5,2023-02-13,25.078009318205396,29.62853749460723
145,MP5,2023-02-14,27.30531604331914,28.751429901940305
146,MP5,2023-02-15,30.767876741704097,28.55667803844949
147,MP5,2023-02-16,31.910200863751797,29.081864841290702
148,MP5,2023-02-17,29.50010761491355,28.66422041065993
149,MP5,2023-02-18,12.648992984712798,25.54050278916293
150,Minigun,2023-01-25,1.5239953283431544,
151,Minigun,2023-01-26,0.5914548022598872,
152,Minigun,2023-01-27,3.8528134232468596,
153,Minigun,2023-01-28,0.6022727272727273,1.6426340702806572
154,Minigun,2023-01-29,2.045615468409586,1.723230349906443
155,Minigun,2023-01-30,1.9230769230769231,1.7565381121015229
156,Minigun,2023-01-31,0.11655011655011659,1.5222541127370361
157,Minigun,2023-02-01,2.6452884347621186,1.6824388422254597
158,Minigun,2023-02-02,2.1287503440682625,1.9020524910552277
159,Minigun,2023-02-03,2.5942113442113444,1.722252194050154
160,Minigun,2023-02-04,1.5648127382821257,1.8597579099086397
161,Minigun,2023-02-05,1.6181446033739377,1.7986906434749754
162,Minigun,2023-02-06,2.436755952380952,1.8720733619469796
163,Minigun,2023-02-07,1.5667397451784066,2.0792433088938784
164,Minigun,2023-02-08,0.8476190476190476,1.8224333964448682
165,Minigun,2023-02-09,1.7787297448314394,1.7724304536967506
166,Minigun,2023-02-10,0.6499287749287749,1.4946758009420977
167,Minigun,2023-02-11,0.8110018636334426,1.386988533135143
