,weapon,date,usage,usage percentage
0,Chainsaw,2022-12-06,5.4961832061068705,
1,Chainsaw,2022-12-08,9.375,
2,Chainsaw,2022-12-09,8.88888888888889,
3,Chainsaw,2022-12-10,1.2931034482758619,
4,Chainsaw,2022-12-11,0.0,
5,Chainsaw,2022-12-12,5.7142857142857135,
6,Chainsaw,2022-12-13,0.0,
7,Chainsaw,2022-12-14,6.914893617021276,
8,Chainsaw,2022-12-15,5.604395604395606,
9,Chainsaw,2022-12-16,1.932367149758454,
10,Chainsaw,2022-12-17,0.0,
11,Chainsaw,2022-12-18,7.653061224489795,
12,Chainsaw,2022-12-19,0.0,
13,Chainsaw,2022-12-20,2.7522935779816513,3.9731766022288655
14,Chainsaw,2022-12-21,0.0,3.7082981620802746
15,Chainsaw,2022-12-22,0.0,3.4765295269502574
16,Chainsaw,2022-12-23,4.250559284116331,3.522060689136497
17,Chainsaw,2022-12-24,0.0,3.326390650851136
18,Chainsaw,2022-12-25,3.846153846153847,3.353746608498647
19,Chainsaw,2022-12-26,0.0,3.1860592780737145
20,Chainsaw,2022-12-27,0.0,2.911250117768371
21,Chainsaw,2022-12-28,0.0,2.772619159779401
22,Chainsaw,2022-12-29,0.4076086956521739,2.3456005262390285
23,Chainsaw,2022-12-30,0.0,1.9223201029586052
24,Chainsaw,2022-12-31,0.0,1.8607437482788025
25,Chainsaw,2023-01-01,0.0,1.8607437482788025
26,Chainsaw,2023-01-02,2.631578947368421,1.7139481879494074
27,Chainsaw,2023-01-04,1.2711864406779663,1.5174602385297122
28,Chainsaw,2023-01-05,0.0,1.237240458309932
29,Chainsaw,2023-01-06,1.5748031496062995,1.2193622583023243
30,Chainsaw,2023-01-07,1.5625000000000002,1.2974872583023243
31,Chainsaw,2023-01-08,0.0,0.9148341970778345
32,Chainsaw,2023-01-09,1.092896174863388,0.9694790058210039
33,Chainsaw,2023-01-10,0.0,0.8318643269219212
34,Chainsaw,2023-01-11,2.0304568527918785,0.9333871695615151
35,Chainsaw,2023-01-12,5.405405405405406,1.2036574398317854
36,Chainsaw,2023-01-13,5.864357864357865,1.284347368843862
37,Chainsaw,2023-01-14,13.285519125683063,1.9486233251280154
38,Chainsaw,2023-01-15,10.869565217391303,2.2997938936898885
